episode,reward
1,1.3
2,-0.5499999999999999
3,1.6
4,-0.09999999999999987
5,-0.6499999999999999
6,-0.44999999999999996
7,1.35
8,1.35
9,-0.7
10,-0.34999999999999987
11,-0.8
12,1.35
13,-0.30000000000000004
14,1.35
15,-0.85
16,-0.6
17,-0.5499999999999999
18,1.25
19,1.3
20,-0.9
21,1.5
22,-0.55
23,1.35
24,-0.95
25,1.35
26,1.5
27,1.7000000000000002
28,-0.6
29,-0.7
30,-0.75
31,1.8499999999999999
32,-0.75
33,1.35
34,1.2
35,1.75
36,1.4
37,1.1
38,-0.5
39,-0.5
40,-0.8
41,-0.44999999999999996
42,1.25
43,-0.7
44,-0.19999999999999984
45,-0.6499999999999999
46,1.4
47,1.15
48,1.75
49,1.1
50,1.45
51,1.35
52,-0.75
53,1.3
54,-0.04999999999999993
55,-0.9
56,1.05
57,1.4
58,-0.9
59,1.55
60,-0.44999999999999996
61,1.25
62,-0.4
63,1.3
64,-0.65
65,1.2
66,1.55
67,1.2
68,1.15
69,1.4
70,1.15
71,1.4
72,1.55
73,1.35
74,-0.95
75,-0.55
76,-0.85
77,1.25
78,1.5
79,1.45
80,0.9000000000000001
81,1.3
82,-0.95
83,1.7
84,-0.4
85,1.9
86,-0.9
87,1.35
88,1.2
89,-0.6
90,1.65
91,1.5
92,-0.19999999999999996
93,1.3
94,-0.44999999999999984
95,1.3
96,1.2
97,1.2
98,1.25
99,-0.55
100,-0.75
101,1.15
102,1.3
103,-0.15000000000000002
104,-0.4
105,1.45
106,1.4500000000000002
107,1.3
108,1.4
109,1.4
110,1.5
111,1.35
112,-0.5
113,1.45
114,-0.8
115,1.65
116,1.3
117,1.25
118,1.25
119,-0.44999999999999996
120,-0.75
121,-0.44999999999999996
122,-0.65
123,1.5499999999999998
124,-0.7
125,1.3
126,-0.2499999999999999
127,-0.44999999999999996
128,-0.55
129,-0.7
130,1.35
131,-0.7
132,-0.9
133,-0.15000000000000002
134,-0.65
135,1.55
136,-0.5
137,-0.3500000000000001
138,-0.75
139,1.4
140,1.45
141,1.45
142,-0.7
143,-0.75
144,-0.95
145,1.25
146,-0.5
147,-0.85
148,1.4
149,-0.6
150,-0.65
151,1.05
152,-0.95
153,1.25
154,-0.8
155,-0.7
156,-0.65
157,1.65
158,1.65
159,1.4
160,1.3
161,1.3
162,-0.8
163,-0.55
164,-0.5
165,1.1
166,1.3
167,-0.30000000000000004
168,1.2
169,1.05
170,1.25
171,-0.6499999999999999
172,1.2
173,1.3
174,1.1
175,-0.6
176,-0.5499999999999999
177,-0.6
178,-0.3500000000000001
179,1.15
180,1.2
181,1.15
182,-0.9
183,1.4
184,-0.95
185,1.3
186,-0.75
187,1.3
188,-0.65
189,-0.8
190,1.05
191,1.45
192,1.15
193,1.9000000000000001
194,-0.65
195,1.1
196,1.05
197,-0.4
198,-0.9
199,1.35
200,-0.8
201,-0.4
202,-0.2999999999999998
203,-0.45000000000000007
204,1.1
205,1.4
206,-0.65
207,1.3
208,-0.5
209,1.45
210,-0.7
211,-0.75
212,0.10000000000000009
213,1.3
214,1.5
215,-0.5
216,1.25
217,-0.6
218,-0.5499999999999999
219,2.0
220,-0.45000000000000007
221,-0.65
222,1.25
223,-0.9
224,-0.85
225,1.4
226,1.4
227,1.35
228,-0.25
229,1.5499999999999998
230,1.55
231,1.45
232,1.4
233,1.15
234,-0.6000000000000001
235,-0.5
236,-0.8
237,1.5
238,-0.050000000000000044
239,-0.3999999999999999
240,1.25
241,-0.35
242,1.6
243,1.15
244,-0.6
245,-0.75
246,-0.55
247,1.2
248,-0.9
249,-0.15000000000000013
250,-0.75
251,1.5499999999999998
252,1.25
253,1.6
254,1.5
255,1.45
256,-0.75
257,1.5
258,1.05
259,1.2
260,-0.09999999999999998
261,-0.29999999999999993
262,1.2
263,1.15
264,1.15
265,1.2
266,-0.85
267,-0.6
268,1.45
269,-0.8
270,-0.9
271,1.45
272,1.3
273,1.4
274,1.1
275,-0.5
276,1.65
277,1.5
278,1.15
279,1.1
280,1.5
281,-0.5
282,-0.55
283,1.5499999999999998
284,-0.44999999999999996
285,1.25
286,-0.95
287,1.35
288,1.3
289,-0.65
290,1.15
291,-0.5
292,-0.85
293,1.5
294,-0.6499999999999999
295,-0.44999999999999996
296,1.2
297,-0.65
298,-0.7
299,1.2
300,-0.44999999999999996
301,1.5
302,1.25
303,1.1
304,-0.75
305,-0.65
306,1.15
307,1.35
308,1.4500000000000002
309,1.35
310,1.7000000000000002
311,-0.65
312,1.55
313,1.4
314,1.45
315,1.5
316,-0.65
317,-0.85
318,1.1
319,-0.7
320,1.2
321,1.65
322,-0.5
323,1.2
324,-0.65
325,1.5499999999999998
326,-0.9
327,1.15
328,1.7000000000000002
329,-0.75
330,-0.6
331,-0.6499999999999999
332,-0.9
333,-0.55
334,1.5499999999999998
335,-0.55
336,1.5
337,1.15
338,1.4500000000000002
339,1.3
340,-0.44999999999999996
341,-0.8
342,-0.8
343,-0.4
344,1.45
345,1.65
346,-0.44999999999999996
347,1.5
348,1.05
349,-0.44999999999999996
350,1.4
351,-0.6000000000000001
352,1.25
353,1.4
354,1.2
355,-0.75
356,-0.55
357,-0.65
358,-0.6
359,1.6
360,1.3
361,1.4
362,1.35
363,1.35
364,-0.5
365,1.2
366,1.5
367,-0.75
368,1.25
369,1.4
370,-0.7
371,1.5499999999999998
372,-0.7
373,1.25
374,-0.8
375,1.8
376,1.3
377,-0.7
378,1.3
379,1.5
380,1.5
381,1.5
382,1.2
383,1.55
384,-0.7
385,1.3
386,-0.8
387,1.4
388,-0.9
389,1.4
390,1.9
391,-0.75
392,-0.85
393,-0.6499999999999999
394,-0.4
395,1.2
396,-0.4
397,-0.85
398,1.7000000000000002
399,1.35
400,1.45
401,-0.4
402,1.35
403,1.2
404,1.35
405,1.3
406,-0.9
407,-0.35
408,1.45
409,1.2
410,1.1
411,1.1
412,-0.7
413,1.4
414,-0.9
415,-0.20000000000000007
416,-0.45000000000000007
417,-0.6000000000000001
418,1.45
419,1.4
420,-0.75
421,-0.7
422,-0.4999999999999999
423,-0.65
424,-0.65
425,-0.19999999999999996
426,1.5
427,1.35
428,-0.45000000000000007
429,1.7
430,1.45
431,-0.4
432,1.7
433,1.5
434,-0.7
435,-0.6000000000000001
436,1.75
437,1.25
438,1.3
439,-0.7
440,-0.9
441,1.15
442,1.25
443,-0.55
444,-0.5
445,1.25
446,-0.7
447,1.5499999999999998
448,1.3
449,1.15
450,1.2
451,-0.1499999999999999
452,1.15
453,1.3
454,1.55
455,1.45
456,1.15
457,1.2
458,1.3
459,1.6
460,1.35
461,-0.75
462,-0.6
463,1.5
464,-0.75
465,-0.65
466,1.3
467,1.3
468,-0.8
469,1.55
470,-0.75
471,1.15
472,-0.6499999999999999
473,1.5
474,-0.85
475,1.35
476,1.25
477,1.55
478,1.15
479,1.6500000000000001
480,1.25
481,-0.8
482,-0.85
483,-0.7
484,-0.65
485,1.2
486,1.45
487,1.15
488,-0.8
489,1.1
490,1.35
491,1.2
492,-0.65
493,-0.65
494,1.55
495,1.3
496,1.15
497,1.1
498,1.5
499,1.65
500,-0.9
501,-0.04999999999999993
